misra1,misra2,Poetry
ہم نے اک عمر بسر کی ہے غم یار کے ساتھ ,میرؔ دو دن نہ جئے ہجر کے آزار کے ساتھ ,ہم نے اک عمر بسر کی ہے غم یار کے ساتھ  میرؔ دو دن نہ جئے ہجر کے آزار کے ساتھ 
اب تو ہم گھر سے نکلتے ہیں تو رکھ دیتے ہیں ,طاق پر عزت سادات بھی دستار کے ساتھ ,اب تو ہم گھر سے نکلتے ہیں تو رکھ دیتے ہیں  طاق پر عزت سادات بھی دستار کے ساتھ 
اس قدر خوف ہے اب شہر کی گلیوں میں کہ لوگ ,چاپ سنتے ہیں تو لگ جاتے ہیں دیوار کے ساتھ ,اس قدر خوف ہے اب شہر کی گلیوں میں کہ لوگ  چاپ سنتے ہیں تو لگ جاتے ہیں دیوار کے ساتھ 
ایک تو خواب لیے پھرتے ہو گلیوں گلیوں ,اس پہ تکرار بھی کرتے ہو خریدار کے ساتھ ,ایک تو خواب لیے پھرتے ہو گلیوں گلیوں  اس پہ تکرار بھی کرتے ہو خریدار کے ساتھ 
شہر کا شہر ہی ناصح ہو تو کیا کیجئے گا ,ورنہ ہم رند تو بھڑ جاتے ہیں دو چار کے ساتھ ,شہر کا شہر ہی ناصح ہو تو کیا کیجئے گا  ورنہ ہم رند تو بھڑ جاتے ہیں دو چار کے ساتھ 
ہم کو اس شہر میں تعمیر کا سودا ہے جہاں ,لوگ معمار کو چن دیتے ہیں دیوار کے ساتھ ,ہم کو اس شہر میں تعمیر کا سودا ہے جہاں  لوگ معمار کو چن دیتے ہیں دیوار کے ساتھ 
جو شرف ہم کو ملا کوچۂ جاناں سے فرازؔ ,سوئے مقتل بھی گئے ہیں اسی پندار کے ساتھ ,جو شرف ہم کو ملا کوچۂ جاناں سے فرازؔ  سوئے مقتل بھی گئے ہیں اسی پندار کے ساتھ 
دعائیں دو مرے قاتل کو تم کہ شہر کا شہر ,اسی کے ہاتھ سے ہونا ہلاک چاہتا ہے ,دعائیں دو مرے قاتل کو تم کہ شہر کا شہر  اسی کے ہاتھ سے ہونا ہلاک چاہتا ہے 
فسانہ گو بھی کرے کیا کہ ہر کوئی سر بزم ,مآل قصۂ دل دردناک چاہتا ہے ,فسانہ گو بھی کرے کیا کہ ہر کوئی سر بزم  مآل قصۂ دل دردناک چاہتا ہے 
ادھر ادھر سے کئی آ رہی ہیں آوازیں ,اور اس کا دھیان بہت انہماک چاہتا ہے ,ادھر ادھر سے کئی آ رہی ہیں آوازیں  اور اس کا دھیان بہت انہماک چاہتا ہے 
ذرا سی گرد ہوس دل پہ لازمی ہے فرازؔ ,وہ عشق کیا ہے جو دامن کو پاک چاہتا ہے ,ذرا سی گرد ہوس دل پہ لازمی ہے فرازؔ  وہ عشق کیا ہے جو دامن کو پاک چاہتا ہے 
یہ کون پھر سے انہیں راستوں میں چھوڑ گیا ,ابھی ابھی تو عذاب سفر سے نکلا تھا ,یہ کون پھر سے انہیں راستوں میں چھوڑ گیا  ابھی ابھی تو عذاب سفر سے نکلا تھا 
یہ تیر دل میں مگر بے سبب نہیں اترا ,کوئی تو حرف لب چارہ گر سے نکلا تھا ,یہ تیر دل میں مگر بے سبب نہیں اترا  کوئی تو حرف لب چارہ گر سے نکلا تھا 
یہ اب جو آگ بنا شہر شہر پھیلا ہے ,یہی دھواں مرے دیوار و در سے نکلا تھا ,یہ اب جو آگ بنا شہر شہر پھیلا ہے  یہی دھواں مرے دیوار و در سے نکلا تھا 
میں رات ٹوٹ کے رویا تو چین سے سویا ,کہ دل کا زہر مری چشم تر سے نکلا تھا ,میں رات ٹوٹ کے رویا تو چین سے سویا  کہ دل کا زہر مری چشم تر سے نکلا تھا 
یہ اب جو سر ہیں خمیدہ کلاہ کی خاطر ,یہ عیب بھی تو ہم اہل ہنر سے نکلا تھا ,یہ اب جو سر ہیں خمیدہ کلاہ کی خاطر  یہ عیب بھی تو ہم اہل ہنر سے نکلا تھا 
وہ قیس اب جسے مجنوں پکارتے ہیں فرازؔ ,تری طرح کوئی دیوانہ گھر سے نکلا تھا ,وہ قیس اب جسے مجنوں پکارتے ہیں فرازؔ  تری طرح کوئی دیوانہ گھر سے نکلا تھا 
اپنی محرومی کے احساس سے شرمندہ ہیں ,خود نہیں رکھتے تو اوروں کے بجھاتے ہیں چراغ ,اپنی محرومی کے احساس سے شرمندہ ہیں  خود نہیں رکھتے تو اوروں کے بجھاتے ہیں چراغ 
بستیاں دور ہوئی جاتی ہیں رفتہ رفتہ ,دم بہ دم آنکھوں سے چھپتے چلے جاتے ہیں چراغ ,بستیاں دور ہوئی جاتی ہیں رفتہ رفتہ  دم بہ دم آنکھوں سے چھپتے چلے جاتے ہیں چراغ 
کیا خبر ان کو کہ دامن بھی بھڑک اٹھتے ہیں ,جو زمانے کی ہواؤں سے بچاتے ہیں چراغ ,کیا خبر ان کو کہ دامن بھی بھڑک اٹھتے ہیں  جو زمانے کی ہواؤں سے بچاتے ہیں چراغ 
گو سیہ بخت ہیں ہم لوگ پہ روشن ہے ضمیر ,خود اندھیرے میں ہیں دنیا کو دکھاتے ہیں چراغ ,گو سیہ بخت ہیں ہم لوگ پہ روشن ہے ضمیر  خود اندھیرے میں ہیں دنیا کو دکھاتے ہیں چراغ 
بستیاں چاند ستاروں کی بسانے والو ,کرۂ ارض پہ بجھتے چلے جاتے ہیں چراغ ,بستیاں چاند ستاروں کی بسانے والو  کرۂ ارض پہ بجھتے چلے جاتے ہیں چراغ 
ایسے بے درد ہوئے ہم بھی کہ اب گلشن پر ,برق گرتی ہے تو زنداں میں جلاتے ہیں چراغ ,ایسے بے درد ہوئے ہم بھی کہ اب گلشن پر  برق گرتی ہے تو زنداں میں جلاتے ہیں چراغ 
ایسی تاریکیاں آنکھوں میں بسی ہیں کہ فرازؔ ,رات تو رات ہے ہم دن کو جلاتے ہیں چراغ ,ایسی تاریکیاں آنکھوں میں بسی ہیں کہ فرازؔ  رات تو رات ہے ہم دن کو جلاتے ہیں چراغ 
ستم تو یہ ہے کہ عہد ستم کے جاتے ہی ,تمام خلق مری ہم نوا نکلتی ہے ,ستم تو یہ ہے کہ عہد ستم کے جاتے ہی  تمام خلق مری ہم نوا نکلتی ہے 
وصال و ہجر کی حسرت میں جوئے کم مایہ ,کبھی کبھی کسی صحرا میں جا نکلتی ہے ,وصال و ہجر کی حسرت میں جوئے کم مایہ  کبھی کبھی کسی صحرا میں جا نکلتی ہے 
میں کیا کروں مرے قاتل نہ چاہنے پر بھی ,ترے لیے مرے دل سے دعا نکلتی ہے ,میں کیا کروں مرے قاتل نہ چاہنے پر بھی  ترے لیے مرے دل سے دعا نکلتی ہے 
وہ زندگی ہو کہ دنیا فرازؔ کیا کیجے ,کہ جس سے عشق کرو بے وفا نکلتی ہے ,وہ زندگی ہو کہ دنیا فرازؔ کیا کیجے  کہ جس سے عشق کرو بے وفا نکلتی ہے 
رفتہ رفتہ یہی زنداں میں بدل جاتے ہیں ,اب کسی شہر کی بنیاد نہ ڈالی جائے ,رفتہ رفتہ یہی زنداں میں بدل جاتے ہیں  اب کسی شہر کی بنیاد نہ ڈالی جائے 
مصحف رخ ہے کسی کا کہ بیاض حافظ ,ایسے چہرے سے کبھی فال نکالی جائے ,مصحف رخ ہے کسی کا کہ بیاض حافظ  ایسے چہرے سے کبھی فال نکالی جائے 
وہ مروت سے ملا ہے تو جھکا دوں گردن ,میرے دشمن کا کوئی وار نہ خالی جائے ,وہ مروت سے ملا ہے تو جھکا دوں گردن  میرے دشمن کا کوئی وار نہ خالی جائے 
بے نوا شہر کا سایہ ہے مرے دل پہ فرازؔ ,کس طرح سے مری آشفتہ خیالی جائے ,بے نوا شہر کا سایہ ہے مرے دل پہ فرازؔ  کس طرح سے مری آشفتہ خیالی جائے 
خود فریبی ہی سہی کیا کیجئے دل کا علاج ,تو نظر پھیرے تو ہم سمجھیں کہ پہچانا نہیں ,خود فریبی ہی سہی کیا کیجئے دل کا علاج  تو نظر پھیرے تو ہم سمجھیں کہ پہچانا نہیں 
ایک دنیا منتظر ہے اور تیری بزم میں ,اس طرح بیٹھے ہیں ہم جیسے کہیں جانا نہیں ,ایک دنیا منتظر ہے اور تیری بزم میں  اس طرح بیٹھے ہیں ہم جیسے کہیں جانا نہیں 
جی میں جو آتی ہے کر گزرو کہیں ایسا نہ ہو ,کل پشیماں ہوں کہ کیوں دل کا کہا مانا نہیں ,جی میں جو آتی ہے کر گزرو کہیں ایسا نہ ہو  کل پشیماں ہوں کہ کیوں دل کا کہا مانا نہیں 
زندگی پر اس سے بڑھ کر طنز کیا ہوگا فرازؔ ,اس کا یہ کہنا کہ تو شاعر ہے دیوانا نہیں ,زندگی پر اس سے بڑھ کر طنز کیا ہوگا فرازؔ  اس کا یہ کہنا کہ تو شاعر ہے دیوانا نہیں 
یہ کن نظروں سے تو نے آج دیکھا ,کہ تیرا دیکھنا دیکھا نہ جائے ,یہ کن نظروں سے تو نے آج دیکھا  کہ تیرا دیکھنا دیکھا نہ جائے 
ہمیشہ کے لیے مجھ سے بچھڑ جا ,یہ منظر بارہا دیکھا نہ جائے ,ہمیشہ کے لیے مجھ سے بچھڑ جا  یہ منظر بارہا دیکھا نہ جائے 
غلط ہے جو سنا پر آزما کر ,تجھے اے بے وفا دیکھا نہ جائے ,غلط ہے جو سنا پر آزما کر  تجھے اے بے وفا دیکھا نہ جائے 
یہ محرومی نہیں پاس وفا ہے ,کوئی تیرے سوا دیکھا نہ جائے ,یہ محرومی نہیں پاس وفا ہے  کوئی تیرے سوا دیکھا نہ جائے 
یہی تو آشنا بنتے ہیں آخر ,کوئی نا آشنا دیکھا نہ جائے ,یہی تو آشنا بنتے ہیں آخر  کوئی نا آشنا دیکھا نہ جائے 
یہ میرے ساتھ کیسی روشنی ہے ,کہ مجھ سے راستہ دیکھا نہ جائے ,یہ میرے ساتھ کیسی روشنی ہے  کہ مجھ سے راستہ دیکھا نہ جائے 
فرازؔ اپنے سوا ہے کون تیرا ,تجھے تجھ سے جدا دیکھا نہ جائے ,فرازؔ اپنے سوا ہے کون تیرا  تجھے تجھ سے جدا دیکھا نہ جائے 
وہ کپکپاتے ہوئے ہونٹ میرے شانے پر ,وہ خواب سانپ کی مانند ڈس گیا مجھ کو ,وہ کپکپاتے ہوئے ہونٹ میرے شانے پر  وہ خواب سانپ کی مانند ڈس گیا مجھ کو 
چٹخ اٹھا ہو سلگتی چٹان کی صورت ,پکار اب تو مرے دیر آشنا مجھ کو ,چٹخ اٹھا ہو سلگتی چٹان کی صورت  پکار اب تو مرے دیر آشنا مجھ کو 
تجھے تراش کے میں سخت منفعل ہوں کہ لوگ ,تجھے صنم تو سمجھنے لگے خدا مجھ کو ,تجھے تراش کے میں سخت منفعل ہوں کہ لوگ  تجھے صنم تو سمجھنے لگے خدا مجھ کو 
یہ اور بات کہ اکثر دمک اٹھا چہرہ ,کبھی کبھی یہی شعلہ بجھا گیا مجھ کو ,یہ اور بات کہ اکثر دمک اٹھا چہرہ  کبھی کبھی یہی شعلہ بجھا گیا مجھ کو 
یہ قربتیں ہی تو وجہ فراق ٹھہری ہیں ,بہت عزیز ہیں یاران بے وفا مجھ کو ,یہ قربتیں ہی تو وجہ فراق ٹھہری ہیں  بہت عزیز ہیں یاران بے وفا مجھ کو 
ستم تو یہ ہے کہ ظالم سخن شناس نہیں ,وہ ایک شخص کہ شاعر بنا گیا مجھ کو ,ستم تو یہ ہے کہ ظالم سخن شناس نہیں  وہ ایک شخص کہ شاعر بنا گیا مجھ کو 
اسے فرازؔ اگر دکھ نہ تھا بچھڑنے کا ,تو کیوں وہ دور تلک دیکھتا رہا مجھ کو ,اسے فرازؔ اگر دکھ نہ تھا بچھڑنے کا  تو کیوں وہ دور تلک دیکھتا رہا مجھ کو 
نہ پوچھ جب وہ گزرتا ہے بے نیازی سے ,تو کس ملال سے ہم نامہ بر کو دیکھتے ہیں ,نہ پوچھ جب وہ گزرتا ہے بے نیازی سے  تو کس ملال سے ہم نامہ بر کو دیکھتے ہیں 
ترے جمال سے ہٹ کر بھی ایک دنیا ہے ,یہ سیر چشم مگر کب ادھر کو دیکھتے ہیں ,ترے جمال سے ہٹ کر بھی ایک دنیا ہے  یہ سیر چشم مگر کب ادھر کو دیکھتے ہیں 
عجب فسون خریدار کا اثر ہے کہ ہم ,اسی کی آنکھ سے اپنے ہنر کو دیکھتے ہیں ,عجب فسون خریدار کا اثر ہے کہ ہم  اسی کی آنکھ سے اپنے ہنر کو دیکھتے ہیں 
فرازؔ در خور سجدہ ہر آستانہ نہیں ,ہم اپنے دل کے حوالے سے در کو دیکھتے ہیں ,فرازؔ در خور سجدہ ہر آستانہ نہیں  ہم اپنے دل کے حوالے سے در کو دیکھتے ہیں 
یہ قربتوں میں عجب فاصلے پڑے کہ مجھے ,ہے آشنا کی طلب آشنا کے ہوتے ہوئے ,یہ قربتوں میں عجب فاصلے پڑے کہ مجھے  ہے آشنا کی طلب آشنا کے ہوتے ہوئے 
وہ حیلہ گر ہیں جو مجبوریاں شمار کریں ,چراغ ہم نے جلائے ہوا کے ہوتے ہوئے ,وہ حیلہ گر ہیں جو مجبوریاں شمار کریں  چراغ ہم نے جلائے ہوا کے ہوتے ہوئے 
نہ چاہنے پہ بھی تجھ کو خدا سے مانگ لیا ,یہ حال ہے دل بے مدعا کے ہوتے ہوئے ,نہ چاہنے پہ بھی تجھ کو خدا سے مانگ لیا  یہ حال ہے دل بے مدعا کے ہوتے ہوئے 
نہ کر کسی پہ بھروسہ کہ کشتیاں ڈوبیں ,خدا کے ہوتے ہوئے ناخدا کے ہوتے ہوئے ,نہ کر کسی پہ بھروسہ کہ کشتیاں ڈوبیں  خدا کے ہوتے ہوئے ناخدا کے ہوتے ہوئے 
مگر یہ اہل ریا کس قدر برہنہ ہیں ,گلیم و دلق و عبا و قبا کے ہوتے ہوئے ,مگر یہ اہل ریا کس قدر برہنہ ہیں  گلیم و دلق و عبا و قبا کے ہوتے ہوئے 
کسے خبر ہے کہ کاسہ بدست پھرتے ہیں ,بہت سے لوگ سروں پر ہما کے ہوتے ہوئے ,کسے خبر ہے کہ کاسہ بدست پھرتے ہیں  بہت سے لوگ سروں پر ہما کے ہوتے ہوئے 
فرازؔ ایسے بھی لمحے کبھی کبھی آئے ,کہ دل گرفتہ رہے دل ربا کے ہوتے ہوئے ,فرازؔ ایسے بھی لمحے کبھی کبھی آئے  کہ دل گرفتہ رہے دل ربا کے ہوتے ہوئے 
رو رہے ہیں کہ ایک عادت ہے ,ورنہ اتنا نہیں ملال ہمیں ,رو رہے ہیں کہ ایک عادت ہے  ورنہ اتنا نہیں ملال ہمیں 
خلوتی ہیں ترے جمال کے ہم ,آئنے کی طرح سنبھال ہمیں ,خلوتی ہیں ترے جمال کے ہم  آئنے کی طرح سنبھال ہمیں 
مرگ انبوہ جشن شادی ہے ,مل گئے دوست حسب حال ہمیں ,مرگ انبوہ جشن شادی ہے  مل گئے دوست حسب حال ہمیں 
اختلاف جہاں کا رنج نہ تھا ,دے گئے مات ہم خیال ہمیں ,اختلاف جہاں کا رنج نہ تھا  دے گئے مات ہم خیال ہمیں 
کیا توقع کریں زمانے سے ,ہو بھی گر جرأت سوال ہمیں ,کیا توقع کریں زمانے سے  ہو بھی گر جرأت سوال ہمیں 
ہم یہاں بھی نہیں ہیں خوش لیکن ,اپنی محفل سے مت نکال ہمیں ,ہم یہاں بھی نہیں ہیں خوش لیکن  اپنی محفل سے مت نکال ہمیں 
ہم ترے دوست ہیں فرازؔ مگر ,اب نہ اور الجھنوں میں ڈال ہمیں ,ہم ترے دوست ہیں فرازؔ مگر  اب نہ اور الجھنوں میں ڈال ہمیں 
اپنا یہ شیوہ تو نہیں تھا اپنے غم اوروں کو سونپیں ,خود تو جاگتے یا سوتے ہیں اس کو کیوں بے خواب کیا ہے ,اپنا یہ شیوہ تو نہیں تھا اپنے غم اوروں کو سونپیں  خود تو جاگتے یا سوتے ہیں اس کو کیوں بے خواب کیا ہے 
خلقت کے آوازے بھی تھے بند اس کے دروازے بھی تھے ,پھر بھی اس کوچے سے گزرے پھر بھی اس کا نام لیا ہے ,خلقت کے آوازے بھی تھے بند اس کے دروازے بھی تھے  پھر بھی اس کوچے سے گزرے پھر بھی اس کا نام لیا ہے 
ہجر کی رت جاں لیوا تھی پر غلط سبھی اندازے نکلے ,تازہ رفاقت کے موسم تک میں بھی جیا ہوں وہ بھی جیا ہے ,ہجر کی رت جاں لیوا تھی پر غلط سبھی اندازے نکلے  تازہ رفاقت کے موسم تک میں بھی جیا ہوں وہ بھی جیا ہے 
ایک فرازؔ تمہیں تنہا ہو جو اب تک دکھ کے رسیا ہو ,ورنہ اکثر دل والوں نے درد کا رستہ چھوڑ دیا ہے ,ایک فرازؔ تمہیں تنہا ہو جو اب تک دکھ کے رسیا ہو  ورنہ اکثر دل والوں نے درد کا رستہ چھوڑ دیا ہے 
بہت سے ایسے ستم گر تھے اب جو یاد نہیں ,کسی حبیب دل آزار کے علاوہ بھی ,بہت سے ایسے ستم گر تھے اب جو یاد نہیں  کسی حبیب دل آزار کے علاوہ بھی 
یہ کیا کہ تم بھی سر راہ حال پوچھتے ہو ,کبھی ملو ہمیں بازار کے علاوہ بھی ,یہ کیا کہ تم بھی سر راہ حال پوچھتے ہو  کبھی ملو ہمیں بازار کے علاوہ بھی 
اجاڑ گھر میں یہ خوشبو کہاں سے آئی ہے ,کوئی تو ہے در و دیوار کے علاوہ بھی ,اجاڑ گھر میں یہ خوشبو کہاں سے آئی ہے  کوئی تو ہے در و دیوار کے علاوہ بھی 
سو دیکھ کر ترے رخسار و لب یقیں آیا ,کہ پھول کھلتے ہیں گل زار کے علاوہ بھی ,سو دیکھ کر ترے رخسار و لب یقیں آیا  کہ پھول کھلتے ہیں گل زار کے علاوہ بھی 
کبھی فرازؔ سے آ کر ملو جو وقت ملے ,یہ شخص خوب ہے اشعار کے علاوہ بھی ,کبھی فرازؔ سے آ کر ملو جو وقت ملے  یہ شخص خوب ہے اشعار کے علاوہ بھی 
اداسیاں ہوں مسلسل تو دل نہیں روتا ,کبھی کبھی ہو تو یہ کیفیت بھی پیاری لگے ,اداسیاں ہوں مسلسل تو دل نہیں روتا  کبھی کبھی ہو تو یہ کیفیت بھی پیاری لگے 
بظاہر ایک ہی شب ہے فراق یار مگر ,کوئی گزارنے بیٹھے تو عمر ساری لگے ,بظاہر ایک ہی شب ہے فراق یار مگر  کوئی گزارنے بیٹھے تو عمر ساری لگے 
علاج اس دل درد آشنا کا کیا کیجے ,کہ تیر بن کے جسے حرف غم گساری لگے ,علاج اس دل درد آشنا کا کیا کیجے  کہ تیر بن کے جسے حرف غم گساری لگے 
ہمارے پاس بھی بیٹھو بس اتنا چاہتے ہیں ,ہمارے ساتھ طبیعت اگر تمہاری لگے ,ہمارے پاس بھی بیٹھو بس اتنا چاہتے ہیں  ہمارے ساتھ طبیعت اگر تمہاری لگے 
